"Member","Name","Image","Staked (ROAR)","Voting power"
"terra1myh3pl3aa8yqclgxtzzd3f9ac8p9ygw7huhyfe","","","687716.822234","0.000310180090177276"
"terra1pnnk4mhstjje4qryxd4glkrvya42vjzphf0dd3","","","638796.794245","0.000288115748863345"
"terra1l4mpnxhvrca26ge5mt4le7uh8yvcknv4ar42lq","","","591505.12792","0.00026678584554984"
"terra1llex6wfx49xssnz7z055jmp5p69nnj2uqhv7hs","","","478745.163297","0.000215927854492515"
"terra1cu8qpx0ae79hfnsdhxm6tyyjammnx5y64mkhfr","","","379729.896148","0.000171269117785398"
"terra1rz039rdm5yf0s62phmpmhjcmhm5v3gf6cc5j9e","","","379653.131439","0.000171234494691138"
"terra1y9qtarp3yqpgj4kr4d7qtvvqchp5wtsajt7ejx","","","370840","0.00016725951863106"
"terra1wdw603l3k0pchdkn8g3q28kcw3qnrfhwcd845p","","","366185.864368","0.000165160369441512"
"terra1c4273lx3yx5kvtkf2tqdpm4me6ns7298sssagn","","","332539.889854","0.000149985066073255"
"terra1j5uuexzp9hmhxdmehxm2ka2mlhnr492tfq5xlg","","","329617","0.000148666758582176"
